id,mode1_informative,mode2_informative,mode3_informative,mode4_informative,mode1_instructive,mode2_instructive,mode3_instructive,mode4_instructive,mode1_inference,mode2_inference,mode3_inference,mode4_inference,mode1_progressive,mode2_progressive,mode3_progressive,mode4_progressive,mode1_smart,mode2_smart,mode3_smart,mode4_smart,mode1_master,mode2_master,mode3_master,mode4_master
1,2,6,7,7,4,3,4,4,4,5,6,7,4,6,7,7,4,6,7,7,4,6,7,7
2,1,6,7,7,1,6,7,5,1,5,7,6,4,6,7,6,4,6,7,6,4,6,7,7
3,3,5,6,6,2,4,6,6,2,5,5,6,2,4,6,7,2,3,6,7,2,4,6,6
4,1,4,5,6,1,4,4,5,1,4,5,6,1,4,6,6,1,5,6,6,1,6,7,6
5,1,4,5,7,1,4,7,6,1,4,5,6,1,5,5,7,1,4,6,7,1,5,7,7
6,1,6,6,6,1,6,6,6,1,5,6,5,1,5,7,6,1,5,7,6,1,6,6,6
7,2,6,5,4,1,4,5,4,1,6,6,6,1,7,7,7,1,6,6,7,1,6,6,6
8,2,7,7,6,2,6,7,6,1,7,6,6,1,7,7,7,1,7,7,6,1,7,6,6
9,2,6,6,5,2,6,5,5,2,3,5,7,6,6,6,7,5,6,6,7,4,5,6,7
10,2,7,6,7,2,4,6,7,3,7,6,7,4,7,6,7,3,7,6,7,2,5,6,7
11,1,6,5,5,1,6,6,6,1,7,5,6,1,7,7,7,1,6,6,7,1,7,7,6
12,1,6,7,6,1,7,7,6,1,6,7,5,1,6,7,7,1,5,7,7,1,3,7,6
13,2,5,6,6,2,5,7,7,2,6,6,7,2,5,7,7,2,5,7,7,2,5,7,7
14,1,6,7,7,1,6,6,7,1,5,6,7,7,7,7,7,1,4,6,7,5,6,7,7
15,1,6,5,6,1,6,6,4,1,5,6,5,1,6,7,6,1,6,6,5,1,4,6,6
16,1,6,7,6,1,7,4,3,1,6,7,6,1,7,7,7,1,7,7,5,3,7,7,7
17,1,4,6,7,1,4,6,7,1,4,7,7,1,5,6,7,1,5,7,6,1,2,5,6
18,1,6,7,6,1,6,7,5,1,5,7,5,2,6,5,6,2,5,6,6,1,3,7,6
19,2,5,4,5,1,6,5,6,1,5,5,6,1,4,4,4,1,5,6,6,1,4,4,4
20,1,4,5,6,1,4,5,3,2,4,6,5,1,5,6,6,2,5,5,6,2,5,5,6
21,1,1,1,1,1,1,1,3,4,2,7,5,2,1,7,7,3,1,4,4,1,1,4,3
22,1,6,3,6,1,5,3,5,1,7,5,4,1,5,3,4,1,6,4,5,1,6,3,5